series_id,series_name,league_ids,league_names,league_count
13425,Division 1,"[4783, 4785]","['APTA Chicago', ""Chicago North Shore Women's Platform Tennis League""]",2
13426,Division 10,"[4783, 4785]","['APTA Chicago', ""Chicago North Shore Women's Platform Tennis League""]",2
13427,Division 11,"[4783, 4785]","['APTA Chicago', ""Chicago North Shore Women's Platform Tennis League""]",2
13428,Division 12,"[4783, 4785]","['APTA Chicago', ""Chicago North Shore Women's Platform Tennis League""]",2
13429,Division 13,"[4783, 4785]","['APTA Chicago', ""Chicago North Shore Women's Platform Tennis League""]",2
13430,Division 14,"[4783, 4785]","['APTA Chicago', ""Chicago North Shore Women's Platform Tennis League""]",2
13433,Division 15,"[4783, 4785]","['APTA Chicago', ""Chicago North Shore Women's Platform Tennis League""]",2
13434,Division 16,"[4783, 4785]","['APTA Chicago', ""Chicago North Shore Women's Platform Tennis League""]",2
13437,Division 17,"[4783, 4785]","['APTA Chicago', ""Chicago North Shore Women's Platform Tennis League""]",2
13442,Division 2,"[4783, 4785]","['APTA Chicago', ""Chicago North Shore Women's Platform Tennis League""]",2
13446,Division 3,"[4783, 4785]","['APTA Chicago', ""Chicago North Shore Women's Platform Tennis League""]",2
13450,Division 4,"[4783, 4785]","['APTA Chicago', ""Chicago North Shore Women's Platform Tennis League""]",2
13452,Division 5,"[4783, 4785]","['APTA Chicago', ""Chicago North Shore Women's Platform Tennis League""]",2
13455,Division 6,"[4783, 4785]","['APTA Chicago', ""Chicago North Shore Women's Platform Tennis League""]",2
13456,Division 7,"[4783, 4785]","['APTA Chicago', ""Chicago North Shore Women's Platform Tennis League""]",2
13457,Division 8,"[4783, 4785]","['APTA Chicago', ""Chicago North Shore Women's Platform Tennis League""]",2
13460,Division 9,"[4783, 4785]","['APTA Chicago', ""Chicago North Shore Women's Platform Tennis League""]",2
13468,S1,"[4785, 4786]","[""Chicago North Shore Women's Platform Tennis League"", 'North Shore Tennis Foundation']",2
13480,S3,"[4785, 4786]","[""Chicago North Shore Women's Platform Tennis League"", 'North Shore Tennis Foundation']",2
13500,SA,"[4783, 4785, 4786]","['APTA Chicago', ""Chicago North Shore Women's Platform Tennis League"", 'North Shore Tennis Foundation']",3
13516,Series 1,"[4785, 4786]","[""Chicago North Shore Women's Platform Tennis League"", 'North Shore Tennis Foundation']",2
13519,Series 3,"[4785, 4786]","[""Chicago North Shore Women's Platform Tennis League"", 'North Shore Tennis Foundation']",2
13520,Series A,"[4785, 4786]","[""Chicago North Shore Women's Platform Tennis League"", 'North Shore Tennis Foundation']",2
