Club ID,Club Name,Current Address,New Address
8632,BYE,,
8485,Barrington Hills,,
8486,Barrington Hills CC,,
8729,Barrington Hills Country Club,,
8487,Biltmore,,
8488,Biltmore CC,,
8720,Biltmore Country Club,,
8489,Birchwood,"174 Park Ave W, Highland Park, IL 60035",
8490,Briarwood,,
8491,Bryn Mawr,,
8492,Bryn Mawr CC,,
8943,Bryn Mawr Country Club,,
8493,Butterfield,,
8494,Chicago Highlands,,
8495,Dunham Woods,,
8496,Edgewood Valley,,
8497,Evanston,,
8498,Exmoor,,
8499,Glen Ellyn,,
8500,Glen Oak,,
8501,Glen Oak I,,
8502,Glen Oak II,,
8503,Glen View,,
8569,Glenbrook,,
8504,Glenbrook RC,,
8706,Glenbrook Racquet Club,,
8748,Glenbrook Rc,,
8505,Hawthorn Woods,,
8506,Hinsdale GC,,
8780,Hinsdale Gc,,
8507,Hinsdale Golf Club,,
8508,Hinsdale PC,,
8509,Hinsdale PC I,,
8510,Hinsdale PC II,,
8716,Hinsdale Paddle Club,,
8759,Hinsdale Pc,,
8511,Indian Hill,,
8512,Inverness,,
8513,Knollwood,,
8514,LaGrange CC,,
8515,LaGrange CC I,,
8516,LaGrange CC II,,
8905,Lagrange CC,,
8760,Lagrange Cc,,
8703,Lagrange Country Club,,
8517,Lake Bluff,,
8518,Lake Forest,,
8519,Lake Shore CC,,
8704,Lake Shore Country Club,,
8520,Lakeshore S&F,,
8685,Legends,,
8521,LifeSport,,
8663,LifeSport-Lshire,,
8746,Lifesport,,
8711,Lifesport Lshire,,
8522,Lifesport-Lshire,,
14202,Lifesportlshire,,
8523,Medinah,,
8524,Medinah I,,
8525,Medinah II,,
8526,Michigan Shores,,
8817,Midt,,
8713,Midt Bannockburn,,
8527,Midt-Bannockburn,,
19647,Midtbannockburn,,
8528,Midtown,,
8646,Midtown - Chicago - 10,,
8678,Midtown - Chicago - 14,,
8624,Midtown - Chicago - 19,,
8674,Midtown - Chicago - 23,,
8609,Midtown - Chicago - 27,,
8677,Midtown - Chicago - 32,,
8613,Midtown - Chicago - 4,,
8621,Midtown - Chicago - 6,,
14282,Midtown Chicago,,
8529,North Shore,,
8530,Northmoor,,
8531,Oak Park CC,,
8532,Oak Park CC I,,
8533,Oak Park CC II,,
8769,Oak Park Cc,,
8735,Oak Park Country Club,,
8534,Old Willow,,
8535,Onwentsia,,
8625,Park RIdge CC,,
8536,Park Ridge,,
8537,Park Ridge CC,,
8726,Park Ridge Country Club,,
8572,Placeholder Club,,
8568,PraIrie Club,,
8538,Prairie Club,,
8539,Prairie Club I,,
8540,Prairie Club II,,
8541,Ravinia Green,,
8542,River Forest,,
8543,River Forest CC,,
8856,River Forest Cc,,
8722,River Forest Country Club,,
8544,River Forest PD,,
8545,River Forest PD I,,
8546,River Forest PD II,,
8547,Royal Melbourne,,
8548,Ruth Lake,,
8549,Saddle & Cycle,,
8550,Salt Creek,,
8551,Salt Creek I,,
8552,Salt Creek II,,
8553,Skokie,,
8554,South Barrington,,
8555,Sunset Ridge,,
8556,Tennaqua,,
8557,Valley Lo,,
8558,Westmoreland,,
8559,White Eagle,,
8560,Wilmette,,
8684,Wilmette 99,,
8673,Wilmette 99 A,,
8652,Wilmette 99 B,,
8664,Wilmette 99 C,,
8629,Wilmette 99 D,,
8659,Wilmette 99 E,,
8672,Wilmette 99 F,,
8561,Wilmette PD,,
8562,Wilmette PD I,,
8563,Wilmette PD II,,
8564,Winnetka,,
8683,Winnetka 99,,
8638,Winnetka 99 A,,
8589,Winnetka 99 B,,
8658,Winnetka 99 C,,
8611,Winnetka 99 D,,
8645,Winnetka 99 E,,
8670,Winnetka 99 F,,
8565,Winnetka I,,
8566,Winnetka II,,
8567,Winter Club,,
