Team ID,Club Name,Series,Full Name,Email,Phone
nndz-WkNld3liNzY%3D,Glen Ellyn,1,Glen Ellyn - 1,,
nndz-WkNld3hyenc%3D,Glen View,1,Glen View - 1,,
nndz-WkNld3liL3g%3D,Hinsdale PC,1,Hinsdale PC - 1,,
nndz-WkNld3liN3g%3D,Lakeshore S&amp;F,1,Lakeshore S&amp;F - 1,,
nndz-WkNLd3dMYng%3D,Lifesport-Lshire,1,Lifesport-Lshire - 1,,
nndz-WkNld3liejU%3D,Michigan Shores,1,Michigan Shores - 1,,
nndz-WkNld3hyZng%3D,Westmoreland,1,Westmoreland - 1,,
nndz-WkNld3liejc%3D,Wilmette PD,1,Wilmette PD - 1,,
nndz-WkNld3liLy8%3D,Birchwood,2,Birchwood - 2,,
nndz-WkNld3hyMzU%3D,Knollwood,2,Knollwood - 2,,
nndz-WkNDOXhyL3g%3D,Ruth Lake,2,Ruth Lake - 2,,
nndz-WkNld3liMzQ%3D,Saddle &amp; Cycle,2,Saddle &amp; Cycle - 2,,
nndz-WkNld3liMzc%3D,Salt Creek,2,Salt Creek - 2,,
nndz-WkNld3hyZis%3D,Sunset Ridge,2,Sunset Ridge - 2,,
nndz-WkNTNXdMbjc%3D,Wilmette PD,2,Wilmette PD - 2,,
nndz-WkM2OHhiYjQ%3D,Winnetka,2,Winnetka - 2,,
nndz-WkNld3liNzc%3D,Evanston,3,Evanston - 3,,
nndz-WkM2OHhMbjc%3D,Hinsdale GC,3,Hinsdale GC - 3,,
nndz-WkNld3hyZi8%3D,Hinsdale PC,3,Hinsdale PC - 3,,
nndz-WkNld3liL3c%3D,Lake Shore CC,3,Lake Shore CC - 3,,
nndz-WkNld3lieng%3D,Lakeshore S&amp;F,3,Lakeshore S&amp;F - 3,,
nndz-WkNld3liLzU%3D,Northmoor,3,Northmoor - 3,,
nndz-WkNld3hyZjk%3D,Skokie,3,Skokie - 3,,
nndz-WkNTNXdMais%3D,South Barrington,3,South Barrington - 3,,
nndz-WkNld3liLzY%3D,Winnetka,3,Winnetka - 3,,
nndz-WkNDOXg3ajQ%3D,Winter Club,3,Winter Club - 3,,
nndz-WkNld3liejg%3D,Birchwood,4,Birchwood - 4,,
nndz-WkNld3liMzg%3D,Hawthorn Woods,4,Hawthorn Woods - 4,,
nndz-WkNld3liNy8%3D,Indian Hill,4,Indian Hill - 4,,
nndz-WkNld3liNys%3D,Lake Bluff,4,Lake Bluff - 4,,
nndz-WkNLd3dMZjk%3D,Lake Forest,4,Lake Forest - 4,,
nndz-WkNld3liN3c%3D,Midtown - Chicago,4,Midtown - Chicago - 4,,
nndz-WkNld3liMy8%3D,North Shore,4,North Shore - 4,,
nndz-WkNld3liMzk%3D,River Forest PD,4,River Forest PD - 4,,
nndz-WkNLeHlidjY%3D,Valley Lo,4,Valley Lo - 4,,
nndz-WkNTL3dyajk%3D,Winnetka,4,Winnetka - 4,,
nndz-WkNTNXc3bi8%3D,Edgewood Valley,5,Edgewood Valley - 5,,
nndz-WkNld3liM3g%3D,Hinsdale PC,5,Hinsdale PC - 5,,
nndz-WkMrL3dycjY%3D,Lifesport-Lshire,5,Lifesport-Lshire - 5,,
nndz-WkMrL3dycjk%3D,Royal Melbourne,5,Royal Melbourne - 5,,
nndz-WkNTNXdMang%3D,Westmoreland,5,Westmoreland - 5,,
nndz-WkNld3liYjk%3D,Wilmette PD I,5,Wilmette PD I - 5,,
nndz-WkNld3liang%3D,Wilmette PD II,5,Wilmette PD II - 5,,
nndz-WkNDOXg3Zis%3D,Winnetka,5,Winnetka - 5,,
nndz-WkNld3liajQ%3D,Birchwood,6,Birchwood - 6,,
nndz-WkNld3liejk%3D,Exmoor,6,Exmoor - 6,,
nndz-WkNDOXhyL3c%3D,Glen Ellyn,6,Glen Ellyn - 6,,
nndz-WkNLd3dMZjc%3D,Lake Bluff,6,Lake Bluff - 6,,
nndz-WkNld3lMMy8%3D,Lakeshore S&amp;F,6,Lakeshore S&amp;F - 6,,
nndz-WkNld3licnc%3D,Michigan Shores,6,Michigan Shores - 6,,
nndz-WkNld3licjc%3D,Tennaqua,6,Tennaqua - 6,,
nndz-WkNld3liLzg%3D,Wilmette PD,6,Wilmette PD - 6,,
nndz-WkMrL3dyZjk%3D,Winnetka I,6,Winnetka I - 6,,
nndz-WkMrL3dyZjg%3D,Winnetka II,6,Winnetka II - 6,,
nndz-WkNld3liei8%3D,Briarwood,7,Briarwood - 7,,
nndz-WkNld3liajY%3D,Evanston,7,Evanston - 7,,
nndz-WkNld3liNzk%3D,Glen View,7,Glen View - 7,,
nndz-WkNld3libjg%3D,Lakeshore S&amp;F,7,Lakeshore S&amp;F - 7,,
nndz-WkNld3liLzQ%3D,Onwentsia,7,Onwentsia - 7,,
nndz-WkNLd3dMZjU%3D,Sunset Ridge,7,Sunset Ridge - 7,,
nndz-WkNTL3dyajg%3D,Tennaqua,7,Tennaqua - 7,,
